"SampleID","CellType","DiseaseState","Source_MitochondrialRate","Tissue","nGene"
"SRR1274182","epidermal keratinocyte","normal control",0.0493,"foreskin",5447
"SRR1274183","epidermal keratinocyte","normal control",0.0291,"foreskin",6648
"SRR1274184","epidermal keratinocyte","normal control",0.0292,"foreskin",5391
"SRR1274185","epidermal keratinocyte","normal control",0.0347,"foreskin",5917
"SRR1274186","epidermal keratinocyte","normal control",0.0356,"foreskin",3893
"SRR1274187","epidermal keratinocyte","normal control",0.034,"foreskin",6883
"SRR1274192","","breast ductal carcinoma",0.0191,"breast",8972
"SRR1274193","","breast ductal carcinoma",0.0199,"breast",4756
"SRR1274194","","breast ductal carcinoma",0.0296,"breast",7994
"SRR1274195","","breast ductal carcinoma",0.0284,"breast",4037
"SRR1274196","","breast ductal carcinoma",0.0281,"breast",7553
"SRR1274197","","breast ductal carcinoma",0.0297,"breast",4131
"SRR1274198","","breast ductal carcinoma",0.0287,"breast",6375
"SRR1274199","","breast ductal carcinoma",0.0283,"breast",3174
"SRR1274200","","breast ductal carcinoma",0.0263,"breast",7239
"SRR1274201","","breast ductal carcinoma",0.026,"breast",3729
"SRR1274202","","breast ductal carcinoma",0.0424,"breast",7806
"SRR1274203","","breast ductal carcinoma",0.045,"breast",3472
"SRR1274204","","breast ductal carcinoma",0.0398,"breast",6842
"SRR1274205","","breast ductal carcinoma",0.0405,"breast",3661
"SRR1274206","","breast ductal carcinoma",0.0434,"breast",7544
"SRR1274207","","breast ductal carcinoma",0.046,"breast",3676
"SRR1274208","","breast ductal carcinoma",0.018,"breast",9193
"SRR1274210","","breast ductal carcinoma",0.0254,"breast",7090
"SRR1274211","","breast ductal carcinoma",0.0266,"breast",3858
"SRR1274212","","breast ductal carcinoma",0.0181,"breast",9715
"SRR1274214","","breast ductal carcinoma",0.0334,"breast",8105
"SRR1274215","","breast ductal carcinoma",0.034,"breast",4250
"SRR1274216","","breast ductal carcinoma",0.0316,"breast",8232
"SRR1274217","","breast ductal carcinoma",0.0314,"breast",3975
"SRR1274218","","breast ductal carcinoma",0.0209,"breast",7827
"SRR1274219","","breast ductal carcinoma",0.0224,"breast",4464
"SRR1274220","","breast ductal carcinoma",0.0471,"breast",6102
"SRR1274221","","breast ductal carcinoma",0.0453,"breast",3225
"SRR1274222","","breast ductal carcinoma",0.0502,"breast",8524
"SRR1274223","","breast ductal carcinoma",0.0475,"breast",4181
"SRR1274224","","breast ductal carcinoma",0.0277,"breast",10149
"SRR1274226","","breast ductal carcinoma",0.0296,"breast",7239
"SRR1274227","","breast ductal carcinoma",0.0292,"breast",3827
"SRR1274228","","breast ductal carcinoma",0.0719,"breast",9632
"SRR1274229","","breast ductal carcinoma",0.0702,"breast",4205
"SRR1274230","","breast ductal carcinoma",0.0167,"breast",9137
"SRR1274231","","breast ductal carcinoma",0.0172,"breast",4324
"SRR1274232","","breast ductal carcinoma",0.0407,"breast",8751
"SRR1274233","","breast ductal carcinoma",0.0409,"breast",3604
"SRR1274234","","breast ductal carcinoma",0.0407,"breast",6924
"SRR1274235","","breast ductal carcinoma",0.0416,"breast",3612
"SRR1274236","B cell","breast ductal carcinoma",0.0392,"peripheral blood",4286
"SRR1274237","B cell","breast ductal carcinoma",0.0406,"peripheral blood",2540
"SRR1274238","B cell","breast ductal carcinoma",0.0333,"peripheral blood",7125
"SRR1274239","B cell","breast ductal carcinoma",0.0335,"peripheral blood",3826
"SRR1274240","B cell","breast ductal carcinoma",0.0804,"peripheral blood",6635
"SRR1274241","B cell","breast ductal carcinoma",0.0829,"peripheral blood",3370
"SRR1274242","B cell","breast ductal carcinoma",0.045,"peripheral blood",5353
"SRR1274243","B cell","breast ductal carcinoma",0.0456,"peripheral blood",2883
"SRR1274244","B cell","breast ductal carcinoma",0.047,"peripheral blood",6382
"SRR1274245","B cell","breast ductal carcinoma",0.0466,"peripheral blood",3621
"SRR1274246","B cell","breast ductal carcinoma",0.0327,"peripheral blood",6947
"SRR1274247","B cell","breast ductal carcinoma",0.0326,"peripheral blood",3452
"SRR1274248","B cell","breast ductal carcinoma",0.0465,"peripheral blood",6756
"SRR1274249","B cell","breast ductal carcinoma",0.0467,"peripheral blood",3446
"SRR1274250","B cell","breast ductal carcinoma",0.0493,"peripheral blood",7698
"SRR1274251","B cell","breast ductal carcinoma",0.0495,"peripheral blood",3605
"SRR1274252","B cell","breast ductal carcinoma",0.0385,"peripheral blood",6670
"SRR1274253","B cell","breast ductal carcinoma",0.0403,"peripheral blood",3415
"SRR1274254","B cell","breast ductal carcinoma",0.0585,"peripheral blood",4207
"SRR1274255","B cell","breast ductal carcinoma",0.0606,"peripheral blood",2382
"SRR1274256","B cell","breast ductal carcinoma",0.0465,"peripheral blood",5867
"SRR1274257","B cell","breast ductal carcinoma",0.0455,"peripheral blood",3073
"SRR1274258","B cell","breast ductal carcinoma",0.0427,"peripheral blood",6600
"SRR1274259","B cell","breast ductal carcinoma",0.0424,"peripheral blood",3392
"SRR1274260","B cell","breast ductal carcinoma",0.0368,"peripheral blood",5044
"SRR1274261","B cell","breast ductal carcinoma",0.0371,"peripheral blood",2787
"SRR1274262","B cell","breast ductal carcinoma",0.0312,"peripheral blood",6568
"SRR1274263","B cell","breast ductal carcinoma",0.0318,"peripheral blood",3314
"SRR1274264","B cell","breast ductal carcinoma",0.0536,"peripheral blood",4402
"SRR1274265","B cell","breast ductal carcinoma",0.051,"peripheral blood",2479
"SRR1274266","B cell","breast ductal carcinoma",0.0474,"peripheral blood",4711
"SRR1274268","B cell","breast ductal carcinoma",0.0595,"peripheral blood",5239
"SRR1274269","B cell","breast ductal carcinoma",0.0597,"peripheral blood",2783
"SRR1274270","fibroblast","normal control",0.0351,"foreskin",6020
"SRR1274274","fibroblast","normal control",0.0261,"foreskin",7995
"SRR1274275","fibroblast","normal control",0.0274,"foreskin",5095
"SRR1274276","fibroblast","normal control",0.0282,"foreskin",7634
"SRR1274277","fibroblast","normal control",0.0274,"foreskin",5773
"SRR1274278","fibroblast","normal control",0.0284,"foreskin",7537
"SRR1274279","fibroblast","normal control",0.0286,"foreskin",5732
"SRR1274280","fibroblast","normal control",0.0177,"foreskin",7304
"SRR1274281","fibroblast","normal control",0.0172,"foreskin",5863
"SRR1274282","fibroblast","normal control",0.0312,"foreskin",9645
"SRR1274283","fibroblast","normal control",0.0304,"foreskin",7701
"SRR1274284","fibroblast","normal control",0.037,"foreskin",7681
"SRR1274285","fibroblast","normal control",0.0353,"foreskin",5657
"SRR1274286","fibroblast","normal control",0.034,"foreskin",7783
"SRR1274287","fibroblast","normal control",0.0334,"foreskin",5685
"SRR1274288","fibroblast","normal control",0.0259,"foreskin",9255
"SRR1274289","fibroblast","normal control",0.0235,"foreskin",5709
"SRR1274290","fibroblast","normal control",0.0266,"foreskin",9659
"SRR1274291","fibroblast","normal control",0.0264,"foreskin",6804
"SRR1274292","fibroblast","normal control",0.019,"foreskin",8335
"SRR1274293","fibroblast","normal control",0.0184,"foreskin",5655
"SRR1274294","fibroblast","normal control",0.0354,"foreskin",7914
"SRR1274295","fibroblast","normal control",0.0343,"foreskin",6355
"SRR1274296","fibroblast","normal control",0.0228,"foreskin",6906
"SRR1274297","fibroblast","normal control",0.0225,"foreskin",4135
"SRR1274298","fibroblast","normal control",0.0415,"foreskin",8507
"SRR1274299","fibroblast","normal control",0.0394,"foreskin",6774
"SRR1274300","fibroblast","normal control",0.0329,"foreskin",7658
"SRR1274301","fibroblast","normal control",0.0328,"foreskin",6487
"SRR1274302","fibroblast","normal control",0.0207,"foreskin",7256
"SRR1274303","fibroblast","normal control",0.0209,"foreskin",5600
"SRR1274304","fibroblast","normal control",0.0185,"foreskin",8205
"SRR1274305","fibroblast","normal control",0.0187,"foreskin",6072
"SRR1274306","fibroblast","normal control",0.0342,"foreskin",6146
"SRR1274308","fibroblast","normal control",0.0216,"foreskin",6363
"SRR1274309","fibroblast","normal control",0.0207,"foreskin",4044
"SRR1274310","fibroblast","normal control",0.0352,"foreskin",7239
"SRR1274311","fibroblast","normal control",0.0346,"foreskin",5971
"SRR1274312","fibroblast","normal control",0.0155,"foreskin",7446
"SRR1274313","fibroblast","normal control",0.0149,"foreskin",6051
"SRR1274314","fibroblast","normal control",0.0327,"foreskin",7121
"SRR1274315","fibroblast","normal control",0.0301,"foreskin",5671
"SRR1274316","fibroblast","normal control",0.0273,"foreskin",6619
"SRR1274317","fibroblast","normal control",0.0208,"foreskin",5057
"SRR1274320","fibroblast","normal control",0.0278,"foreskin",7366
"SRR1274321","fibroblast","normal control",0.028,"foreskin",6189
"SRR1274322","fibroblast","normal control",0.0266,"foreskin",7419
"SRR1274323","fibroblast","normal control",0.0259,"foreskin",5934
"SRR1274326","fibroblast","normal control",0.0192,"foreskin",8665
"SRR1274327","fibroblast","normal control",0.0197,"foreskin",6934
"SRR1274328","fibroblast","normal control",0.0279,"foreskin",7283
"SRR1274329","fibroblast","normal control",0.0262,"foreskin",5837
"SRR1274330","fibroblast","normal control",0.0328,"foreskin",7726
"SRR1274331","fibroblast","normal control",0.0324,"foreskin",6254
"SRR1274332","fibroblast","normal control",0.032,"foreskin",9292
"SRR1274333","fibroblast","normal control",0.0318,"foreskin",7231
"SRR1274334","fibroblast","normal control",0.0136,"foreskin",8415
"SRR1274335","fibroblast","normal control",0.0146,"foreskin",5566
"SRR1274336","fibroblast","normal control",0.0315,"foreskin",7452
"SRR1274337","fibroblast","normal control",0.0303,"foreskin",5251
"SRR1274338","fibroblast","normal control",0.0349,"foreskin",9497
"SRR1274339","fibroblast","normal control",0.0339,"foreskin",6666
"SRR1274340","fibroblast","normal control",0.0293,"foreskin",8779
"SRR1274341","fibroblast","normal control",0.0285,"foreskin",7282
"SRR1274342","fibroblast","normal control",0.039,"foreskin",8814
"SRR1274343","fibroblast","normal control",0.0371,"foreskin",6507
"SRR1274344","","chronic myeloid leukemia (CML)",0.0477,"bone marrow",7212
"SRR1274345","","chronic myeloid leukemia (CML)",0.0521,"bone marrow",4885
"SRR1274346","","chronic myeloid leukemia (CML)",0.0521,"bone marrow",7128
"SRR1274347","","chronic myeloid leukemia (CML)",0.0553,"bone marrow",4759
"SRR1274348","","chronic myeloid leukemia (CML)",0.0555,"bone marrow",7121
"SRR1274349","","chronic myeloid leukemia (CML)",0.0617,"bone marrow",4074
"SRR1274350","","chronic myeloid leukemia (CML)",0.0503,"bone marrow",7896
"SRR1274351","","chronic myeloid leukemia (CML)",0.054,"bone marrow",4852
"SRR1274352","","chronic myeloid leukemia (CML)",0.0117,"bone marrow",7508
"SRR1274353","","chronic myeloid leukemia (CML)",0.0118,"bone marrow",4967
"SRR1274354","","chronic myeloid leukemia (CML)",0.0583,"bone marrow",6113
"SRR1274355","","chronic myeloid leukemia (CML)",0.0629,"bone marrow",4139
"SRR1274356","","chronic myeloid leukemia (CML)",0.0646,"bone marrow",6745
"SRR1274357","","chronic myeloid leukemia (CML)",0.0682,"bone marrow",4752
"SRR1274358","","chronic myeloid leukemia (CML)",0.0671,"bone marrow",6329
"SRR1274359","","chronic myeloid leukemia (CML)",0.0715,"bone marrow",4621
"SRR1274360","","chronic myeloid leukemia (CML)",0.0568,"bone marrow",6867
"SRR1274361","","chronic myeloid leukemia (CML)",0.0605,"bone marrow",4554
"SRR1274362","","chronic myeloid leukemia (CML)",0.0391,"bone marrow",5622
"SRR1274363","","chronic myeloid leukemia (CML)",0.0418,"bone marrow",4123
"SRR1274364","","chronic myeloid leukemia (CML)",0.0539,"bone marrow",7021
"SRR1274365","","chronic myeloid leukemia (CML)",0.0572,"bone marrow",4497
"SRR1274366","","chronic myeloid leukemia (CML)",0.0555,"bone marrow",6875
"SRR1274367","","chronic myeloid leukemia (CML)",0.0595,"bone marrow",5009
"SRR1274368","","chronic myeloid leukemia (CML)",0.0458,"bone marrow",5800
"SRR1274369","","chronic myeloid leukemia (CML)",0.0479,"bone marrow",4245
"SRR1274370","","chronic myeloid leukemia (CML)",0.0498,"bone marrow",6956
"SRR1274371","","chronic myeloid leukemia (CML)",0.0531,"bone marrow",5043
"SRR1274372","","chronic myeloid leukemia (CML)",0.0526,"bone marrow",7370
"SRR1274373","","chronic myeloid leukemia (CML)",0.0542,"bone marrow",4591
"SRR1274374","","chronic myeloid leukemia (CML)",0.0603,"bone marrow",7249
"SRR1274375","","chronic myeloid leukemia (CML)",0.0645,"bone marrow",4561
"SRR1274376","","chronic myeloid leukemia (CML)",0.0534,"bone marrow",6696
"SRR1274377","","chronic myeloid leukemia (CML)",0.0567,"bone marrow",4766
"SRR1274378","","chronic myeloid leukemia (CML)",0.0811,"bone marrow",6951
"SRR1274379","","chronic myeloid leukemia (CML)",0.086,"bone marrow",4379
"SRR1274380","","chronic myeloid leukemia (CML)",0.0555,"bone marrow",6660
"SRR1274381","","chronic myeloid leukemia (CML)",0.0569,"bone marrow",4643
"SRR1274382","","chronic myeloid leukemia (CML)",0.0579,"bone marrow",6466
"SRR1274383","","chronic myeloid leukemia (CML)",0.0609,"bone marrow",4957
"SRR1274384","","chronic myeloid leukemia (CML)",0.0695,"bone marrow",7048
"SRR1274385","","chronic myeloid leukemia (CML)",0.0759,"bone marrow",4350
"SRR1274386","","chronic myeloid leukemia (CML)",0.0636,"bone marrow",6713
"SRR1274387","","chronic myeloid leukemia (CML)",0.0692,"bone marrow",4269
"SRR1274388","","chronic myeloid leukemia (CML)",0.0536,"bone marrow",6774
"SRR1274389","","chronic myeloid leukemia (CML)",0.0587,"bone marrow",4483
"SRR1274390","","chronic myeloid leukemia (CML)",0.0527,"bone marrow",6244
"SRR1274391","","chronic myeloid leukemia (CML)",0.0612,"bone marrow",3808
"SRR1274392","","chronic myeloid leukemia (CML)",0.0559,"bone marrow",7191
"SRR1274393","","chronic myeloid leukemia (CML)",0.0639,"bone marrow",4644
"SRR1274394","","chronic myeloid leukemia (CML)",0.0654,"bone marrow",7262
"SRR1274395","","chronic myeloid leukemia (CML)",0.0722,"bone marrow",3623
"SRR1274396","","chronic myeloid leukemia (CML)",0.0458,"bone marrow",7255
"SRR1274397","","chronic myeloid leukemia (CML)",0.0491,"bone marrow",4842
"SRR1274398","","chronic myeloid leukemia (CML)",0.058,"bone marrow",7562
"SRR1274399","","chronic myeloid leukemia (CML)",0.0624,"bone marrow",5073
"SRR1274400","","chronic myeloid leukemia (CML)",0.0608,"bone marrow",7535
"SRR1274401","","chronic myeloid leukemia (CML)",0.0632,"bone marrow",4547
"SRR1274402","","chronic myeloid leukemia (CML)",0.0515,"bone marrow",7418
"SRR1274403","","chronic myeloid leukemia (CML)",0.056,"bone marrow",4773
"SRR1274404","","chronic myeloid leukemia (CML)",0.0598,"bone marrow",7099
"SRR1274405","","chronic myeloid leukemia (CML)",0.0626,"bone marrow",4787
"SRR1274406","","chronic myeloid leukemia (CML)",0.0614,"bone marrow",6370
"SRR1274407","","chronic myeloid leukemia (CML)",0.0654,"bone marrow",4402
"SRR1274408","","chronic myeloid leukemia (CML)",0.0582,"bone marrow",7138
"SRR1274409","","chronic myeloid leukemia (CML)",0.0616,"bone marrow",4468
"SRR1274410","epidermal keratinocyte","normal control",0.0313,"foreskin",6573
"SRR1274411","epidermal keratinocyte","normal control",0.0315,"foreskin",5321
"SRR1274412","epidermal keratinocyte","normal control",0.0397,"foreskin",5414
"SRR1275003","","chronic myeloid leukemia (CML)",0.072,"bone marrow",6562
"SRR1275004","","chronic myeloid leukemia (CML)",0.0778,"bone marrow",10170
"SRR1275005","","chronic myeloid leukemia (CML)",0.0787,"bone marrow",6359
"SRR1275006","","chronic myeloid leukemia (CML)",0.0637,"bone marrow",9391
"SRR1275007","","chronic myeloid leukemia (CML)",0.0649,"bone marrow",6042
"SRR1275008","","chronic myeloid leukemia (CML)",0.0671,"bone marrow",9532
"SRR1275009","","chronic myeloid leukemia (CML)",0.0667,"bone marrow",5965
"SRR1275010","","chronic myeloid leukemia (CML)",0.0837,"bone marrow",10953
"SRR1275011","","chronic myeloid leukemia (CML)",0.0839,"bone marrow",6776
"SRR1275012","","chronic myeloid leukemia (CML)",0.063,"bone marrow",9240
"SRR1275013","","chronic myeloid leukemia (CML)",0.0621,"bone marrow",5839
"SRR1275014","","chronic myeloid leukemia (CML)",0.0684,"bone marrow",9787
"SRR1275015","","chronic myeloid leukemia (CML)",0.0695,"bone marrow",6263
"SRR1275016","","chronic myeloid leukemia (CML)",0.0504,"bone marrow",10350
"SRR1275017","","chronic myeloid leukemia (CML)",0.0502,"bone marrow",6504
"SRR1275018","","chronic myeloid leukemia (CML)",0.0471,"bone marrow",10000
"SRR1275019","","chronic myeloid leukemia (CML)",0.0477,"bone marrow",6279
"SRR1275020","","chronic myeloid leukemia (CML)",0.057,"bone marrow",10110
"SRR1275021","","chronic myeloid leukemia (CML)",0.0566,"bone marrow",6580
"SRR1275022","","chronic myeloid leukemia (CML)",0.0899,"bone marrow",9562
"SRR1275023","","chronic myeloid leukemia (CML)",0.0894,"bone marrow",5994
"SRR1275024","","chronic myeloid leukemia (CML)",0.0664,"bone marrow",10072
"SRR1275025","","chronic myeloid leukemia (CML)",0.0667,"bone marrow",6446
"SRR1275026","","chronic myeloid leukemia (CML)",0.0561,"bone marrow",10466
"SRR1275027","","chronic myeloid leukemia (CML)",0.0562,"bone marrow",6606
"SRR1275028","epidermal keratinocyte","normal control",0.0457,"foreskin",7024
"SRR1275029","epidermal keratinocyte","normal control",0.0458,"foreskin",5167
"SRR1275030","epidermal keratinocyte","normal control",0.0479,"foreskin",7380
"SRR1275031","epidermal keratinocyte","normal control",0.0469,"foreskin",6019
"SRR1275032","epidermal keratinocyte","normal control",0.0334,"foreskin",7086
"SRR1275033","epidermal keratinocyte","normal control",0.0332,"foreskin",5539
"SRR1275034","epidermal keratinocyte","normal control",0.0326,"foreskin",6846
"SRR1275035","epidermal keratinocyte","normal control",0.0321,"foreskin",5369
"SRR1275036","epidermal keratinocyte","normal control",0.0295,"foreskin",7721
"SRR1275037","epidermal keratinocyte","normal control",0.0299,"foreskin",5411
"SRR1275038","epidermal keratinocyte","normal control",0.021,"foreskin",7091
"SRR1275039","epidermal keratinocyte","normal control",0.0216,"foreskin",5349
"SRR1275040","epidermal keratinocyte","normal control",0.0376,"foreskin",8148
"SRR1275041","epidermal keratinocyte","normal control",0.0374,"foreskin",6535
"SRR1275042","epidermal keratinocyte","normal control",0.0497,"foreskin",6237
"SRR1275043","epidermal keratinocyte","normal control",0.0498,"foreskin",5210
"SRR1275044","","chronic myeloid leukemia (CML)",0.1072,"bone marrow",9917
"SRR1275045","","chronic myeloid leukemia (CML)",0.1067,"bone marrow",6282
"SRR1275046","","chronic myeloid leukemia (CML)",0.1056,"bone marrow",9401
"SRR1275047","","chronic myeloid leukemia (CML)",0.0987,"bone marrow",5830
"SRR1275048","","chronic myeloid leukemia (CML)",0.0712,"bone marrow",10341
"SRR1275049","","chronic myeloid leukemia (CML)",0.0695,"bone marrow",6473
"SRR1275050","","chronic myeloid leukemia (CML)",0.0812,"bone marrow",9561
"SRR1275051","","chronic myeloid leukemia (CML)",0.0819,"bone marrow",6190
"SRR1275052","","chronic myeloid leukemia (CML)",0.0634,"bone marrow",9736
"SRR1275053","","chronic myeloid leukemia (CML)",0.0629,"bone marrow",6432
"SRR1275054","","chronic myeloid leukemia (CML)",0.0497,"bone marrow",10293
"SRR1275055","","chronic myeloid leukemia (CML)",0.0494,"bone marrow",6641
"SRR1275056","","chronic myeloid leukemia (CML)",0.0794,"bone marrow",9407
"SRR1275057","","chronic myeloid leukemia (CML)",0.0783,"bone marrow",6005
"SRR1275058","","chronic myeloid leukemia (CML)",0.0486,"bone marrow",9985
"SRR1275059","","chronic myeloid leukemia (CML)",0.0483,"bone marrow",6353
"SRR1275060","","chronic myeloid leukemia (CML)",0.0825,"bone marrow",9505
"SRR1275061","","chronic myeloid leukemia (CML)",0.0801,"bone marrow",5964
"SRR1275062","","chronic myeloid leukemia (CML)",0.0934,"bone marrow",9766
"SRR1275063","","chronic myeloid leukemia (CML)",0.0938,"bone marrow",6248
"SRR1275064","","chronic myeloid leukemia (CML)",0.0451,"bone marrow",9158
"SRR1275065","","chronic myeloid leukemia (CML)",0.0459,"bone marrow",4888
"SRR1275066","","chronic myeloid leukemia (CML)",0.0684,"bone marrow",9657
"SRR1275067","","chronic myeloid leukemia (CML)",0.0667,"bone marrow",6239
"SRR1275068","","chronic myeloid leukemia (CML)",0.0627,"bone marrow",10272
"SRR1275069","","chronic myeloid leukemia (CML)",0.0625,"bone marrow",6469
"SRR1275070","","chronic myeloid leukemia (CML)",0.0726,"bone marrow",9861
"SRR1275071","","chronic myeloid leukemia (CML)",0.0731,"bone marrow",6323
"SRR1275072","","chronic myeloid leukemia (CML)",0.05,"bone marrow",10019
"SRR1275073","","chronic myeloid leukemia (CML)",0.0495,"bone marrow",6473
"SRR1275074","","chronic myeloid leukemia (CML)",0.0859,"bone marrow",10059
"SRR1275075","","chronic myeloid leukemia (CML)",0.0837,"bone marrow",6269
"SRR1275076","","chronic myeloid leukemia (CML)",0.0717,"bone marrow",9799
"SRR1275077","","chronic myeloid leukemia (CML)",0.0719,"bone marrow",6073
"SRR1275078","","chronic myeloid leukemia (CML)",0.0487,"bone marrow",9058
"SRR1275079","","chronic myeloid leukemia (CML)",0.0487,"bone marrow",5991
"SRR1275080","","chronic myeloid leukemia (CML)",0.0657,"bone marrow",9760
"SRR1275081","","chronic myeloid leukemia (CML)",0.0656,"bone marrow",6101
