Ensembl_geneID,D14_CHD8_1,D14_CHD8_3,D14_CHD8_4,D14_H9_1,D14_H9_2,D14_H9_5,D21_CHD8_4,D21_CHD8_5,D21_CHD8_6,D21_H9_4,D21_H9_5,D21_H9_6,D7_CHD8_2,D7_CHD8_3,D7_CHD8_5,D7_H9_3,D7_H9_4,D7_H9_5
ENSG00000225285,15,14,3,7,1,55,40,97,42,37,49,26,67,8,40,89,90,24
ENSG00000179403,69,28,23,6,4,45,22,90,88,34,76,34,21,29,99,46,65,83
ENSG00000215915,22,81,63,84,43,81,77,41,58,46,13,32,23,2,89,77,99,40
ENSG00000160072,19,93,2,8,34,54,68,64,43,93,70,84,32,21,63,4,86,30
ENSG00000197785,11,67,19,88,30,2,87,40,62,92,27,94,2,64,14,31,73,79
ENSG00000205090,94,84,33,37,60,82,0,25,99,30,23,98,1,97,31,39,98,47
ENSG00000160075,40,34,34,95,72,39,51,10,82,66,83,4,44,49,89,38,56,5
ENSG00000215014,77,93,2,13,23,53,99,80,88,56,82,86,72,20,50,4,74,72
ENSG00000228594,54,63,44,94,53,41,76,98,27,80,85,76,17,86,65,24,1,99
ENSG00000272106,72,11,49,32,74,86,79,99,12,30,0,62,62,85,18,3,93,66
ENSG00000197530,28,76,32,26,78,31,1,69,55,9,1,84,63,1,75,17,72,60
ENSG00000189409,86,28,10,58,6,76,42,64,23,56,24,13,29,69,41,36,2,2
ENSG00000248333,77,43,94,68,87,44,88,74,38,11,69,3,37,22,89,56,69,30
ENSG00000189339,23,38,88,12,37,79,83,9,58,18,15,57,62,24,83,87,73,56
ENSG00000269737,46,79,74,46,0,37,97,90,32,62,10,47,65,0,83,43,97,62
ENSG00000269227,83,33,6,71,25,58,50,34,94,56,13,60,7,97,29,18,22,3
ENSG00000215914,68,51,19,66,41,80,46,6,80,52,40,0,77,52,92,48,62,79
ENSG00000008128,54,4,46,91,34,45,28,56,75,62,98,60,16,66,2,31,98,11
ENSG00000268575,85,29,75,55,100,60,83,3,29,92,0,56,65,40,96,66,4,3
ENSG00000227775,9,95,70,86,100,89,14,74,62,37,6,18,59,42,15,82,70,100
ENSG00000215790,94,24,14,29,7,81,73,28,75,26,23,18,30,66,65,23,100,15
ENSG00000008130,67,82,19,9,32,93,63,91,1,42,21,68,0,44,20,18,78,18
ENSG00000078369,85,88,48,44,36,32,66,81,89,94,90,29,81,25,36,30,85,60
ENSG00000169885,65,91,99,90,0,96,6,25,26,56,85,13,85,44,51,46,72,74
ENSG00000178821,46,100,17,63,17,6,8,64,0,42,13,22,1,73,58,95,66,3
ENSG00000142609,96,6,62,29,72,62,83,13,100,38,52,62,54,98,75,19,66,40
ENSG00000187730,63,93,67,28,56,57,27,12,32,38,54,22,8,69,27,34,100,35
ENSG00000067606,45,70,31,44,99,12,93,40,40,11,29,100,72,71,60,37,33,4
ENSG00000182873,39,65,16,88,28,64,87,16,62,67,76,41,93,26,87,40,47,77
ENSG00000162585,43,21,99,77,68,68,55,88,16,91,82,0,10,59,59,49,5,83
ENSG00000157933,91,8,69,71,2,23,4,7,78,14,77,9,36,1,88,38,16,38
ENSG00000116151,32,90,71,54,55,81,6,39,27,31,19,44,64,43,44,73,61,79
ENSG00000269896,85,71,11,3,9,21,25,41,32,5,43,46,43,36,24,19,24,5
ENSG00000272420,84,89,68,0,92,62,76,64,5,25,84,96,66,41,25,56,1,47
ENSG00000157916,14,82,48,71,44,13,51,13,63,12,95,90,88,49,36,13,3,17
ENSG00000157911,56,76,87,61,71,73,44,61,63,29,10,35,47,89,54,59,51,19
ENSG00000149527,34,16,46,71,42,63,0,82,57,73,26,31,67,6,95,67,93,28
ENSG00000157881,5,33,26,24,82,23,69,28,56,34,2,38,49,6,55,61,52,48
ENSG00000197921,31,7,100,68,33,75,37,24,94,26,96,95,32,85,78,6,88,4
ENSG00000272449,93,57,13,88,50,80,14,18,54,92,72,64,13,87,40,56,37,76
ENSG00000157873,20,87,66,71,66,14,25,32,66,81,71,5,31,16,52,57,9,63
ENSG00000157870,91,70,76,94,63,100,99,37,25,30,81,51,88,60,97,2,51,15
ENSG00000215912,71,89,80,62,56,4,72,53,25,10,49,25,53,10,5,30,57,89
ENSG00000177133,27,38,89,20,97,11,35,97,25,60,56,72,43,28,57,56,51,24
ENSG00000142611,96,72,56,81,75,23,69,22,92,100,13,34,77,53,29,74,26,87
ENSG00000130762,45,56,34,47,66,0,35,24,61,4,64,94,70,33,96,57,12,58
ENSG00000162591,100,95,17,3,76,31,1,47,80,84,61,34,69,75,10,20,58,18
ENSG00000238260,59,82,53,14,22,12,96,74,75,13,18,26,26,78,18,81,97,51
ENSG00000158109,12,75,52,79,66,20,69,3,100,55,17,11,52,87,14,2,4,89
ENSG00000116213,18,84,83,92,36,94,72,47,84,16,77,22,79,10,48,82,88,48
ENSG00000078900,58,46,92,35,96,69,20,37,83,83,53,17,99,19,81,21,6,8
ENSG00000227372,99,59,43,55,18,95,34,34,95,40,45,39,49,74,4,86,31,94
ENSG00000162592,14,85,11,20,89,15,21,30,45,51,89,2,93,3,58,10,92,100
ENSG00000235169,80,85,23,22,63,15,30,91,86,45,48,79,83,4,92,48,83,20
ENSG00000130764,48,98,54,1,48,30,27,74,20,4,48,26,40,71,33,93,19,19
ENSG00000272153,93,12,26,74,21,75,98,26,38,42,45,13,30,26,74,80,76,85
ENSG00000116198,67,37,37,74,20,20,26,66,93,72,22,85,9,68,56,74,36,73
ENSG00000169598,0,36,94,19,17,40,1,84,13,6,75,71,64,51,40,48,81,63
ENSG00000198912,51,33,76,87,5,16,71,30,32,7,84,3,45,16,92,44,65,62
ENSG00000236423,52,99,100,43,100,83,55,96,74,76,72,16,43,94,25,52,68,84
ENSG00000196581,89,61,27,62,1,70,72,31,1,49,99,35,78,31,32,72,65,99
ENSG00000131697,60,4,42,87,47,87,3,49,48,9,0,28,95,79,53,82,49,24
ENSG00000069424,30,99,83,77,38,5,33,12,20,28,61,5,28,46,4,31,1,14
ENSG00000116254,5,28,81,15,27,12,39,23,94,61,31,26,46,54,95,21,49,1
ENSG00000116251,2,6,55,52,9,85,76,42,1,87,74,6,76,74,34,83,35,75
ENSG00000158286,65,87,26,80,45,65,6,22,87,9,37,94,75,34,66,75,5,92
ENSG00000116237,18,25,94,67,29,77,3,0,93,94,64,62,58,26,26,97,47,11
ENSG00000225077,88,55,26,66,100,85,92,57,63,67,15,44,100,53,21,29,3,13
ENSG00000173673,49,31,49,16,91,36,10,2,92,40,70,21,28,98,30,62,26,7
ENSG00000158292,71,23,47,22,52,55,14,87,60,33,58,97,79,26,61,93,13,75
ENSG00000097021,15,60,38,56,3,13,75,76,75,11,19,27,12,22,50,26,64,37
ENSG00000069812,71,53,89,96,62,86,26,16,20,37,17,95,81,87,49,61,97,17
ENSG00000187017,49,17,75,15,82,43,26,20,78,27,65,55,0,12,26,94,31,28
ENSG00000215788,56,0,9,46,81,1,9,98,33,5,60,35,34,94,41,35,40,9
ENSG00000171680,32,70,47,62,11,72,39,14,57,92,91,92,85,25,34,14,18,32
ENSG00000162408,87,8,76,91,26,30,84,9,48,25,46,74,42,62,53,95,10,15
ENSG00000229519,6,28,61,48,93,10,13,48,29,49,76,96,25,46,40,36,50,86
ENSG00000204859,1,55,29,31,67,95,99,54,56,37,62,22,90,50,49,97,82,24
ENSG00000162413,43,63,0,28,73,16,9,45,74,78,49,7,88,49,49,5,34,79
ENSG00000116273,89,78,41,3,55,29,35,27,40,11,15,13,97,72,4,22,80,82
ENSG00000041988,17,0,46,27,71,73,18,89,100,20,12,9,10,85,21,92,54,0
ENSG00000007923,11,28,35,16,91,39,17,33,56,64,84,4,45,70,59,35,63,25
ENSG00000237436,43,82,33,90,12,26,78,69,38,14,47,28,96,74,5,51,19,57
ENSG00000171735,13,22,95,97,5,33,1,18,29,94,16,65,26,98,69,77,63,1
ENSG00000270171,36,21,59,37,76,70,19,35,32,12,97,80,72,36,26,69,42,53
ENSG00000270035,29,54,26,22,96,99,9,33,20,8,59,78,85,33,81,14,23,99
ENSG00000269978,20,11,62,58,47,57,35,98,70,69,98,9,69,30,93,14,61,11
ENSG00000049245,39,5,3,5,9,93,95,15,95,96,14,38,21,1,21,94,75,91
ENSG00000269925,65,74,8,39,25,55,24,100,45,41,1,63,47,65,55,94,5,8
ENSG00000049246,85,86,0,92,44,100,90,45,49,80,90,44,88,21,50,9,73,81
ENSG00000116288,50,33,92,38,29,70,8,70,24,85,63,48,92,8,50,52,74,7
ENSG00000116285,48,63,92,37,53,59,23,56,83,52,42,7,23,40,68,94,1,29
ENSG00000162426,56,74,70,35,52,45,70,71,66,49,55,65,14,75,85,36,23,52
ENSG00000142599,17,50,20,17,67,14,36,89,37,73,34,39,60,70,44,57,8,89
ENSG00000234619,82,34,74,12,72,93,95,32,59,93,43,11,8,14,99,89,2,0
ENSG00000074800,97,34,21,11,87,78,41,31,99,51,22,65,95,15,55,70,18,51
ENSG00000236269,38,55,10,1,95,80,32,52,79,2,28,99,83,30,76,51,34,66
ENSG00000230679,60,68,0,37,96,25,77,4,5,55,5,61,78,83,94,67,51,94
ENSG00000142583,58,67,45,67,84,30,52,48,2,91,11,57,24,16,86,20,51,36
ENSG00000180758,11,99,92,66,73,12,36,0,81,19,6,94,84,85,46,92,17,58
ENSG00000207865,19,65,34,7,33,95,16,5,24,33,36,49,86,58,30,42,85,79
ENSG00000234546,12,90,51,42,68,94,55,67,60,67,10,5,20,12,39,98,2,100
ENSG00000049239,61,28,80,9,61,60,13,5,96,7,12,100,14,51,93,38,81,56
ENSG00000171621,36,4,28,38,75,20,45,9,64,1,0,39,34,96,10,38,33,27
ENSG00000171612,30,26,21,7,5,31,67,24,13,69,68,33,55,92,97,75,84,4
ENSG00000231181,27,82,92,58,82,47,36,73,33,63,12,54,86,99,33,27,7,69
ENSG00000188807,51,94,27,93,83,86,27,31,59,99,87,39,25,31,80,39,56,59
ENSG00000171608,90,72,33,45,90,87,43,94,74,20,46,84,76,14,95,76,37,47
ENSG00000231789,78,40,73,43,84,73,35,68,21,62,67,2,39,26,86,30,62,44
ENSG00000171603,71,92,39,50,10,12,21,93,22,48,4,56,25,48,3,72,67,68
ENSG00000178585,11,74,9,23,35,69,8,93,98,62,44,84,54,63,76,100,69,82
ENSG00000162441,86,20,3,1,56,36,51,52,89,2,51,57,99,77,62,54,26,8
ENSG00000228150,50,97,80,65,13,46,6,100,58,71,93,16,61,13,52,9,32,7
ENSG00000173614,39,80,27,26,84,41,15,27,7,55,85,95,37,70,73,84,94,96
ENSG00000162444,57,12,59,95,2,27,49,64,28,18,30,62,11,19,21,92,94,15
ENSG00000130939,13,47,80,3,87,69,20,30,42,45,92,9,56,64,58,47,32,86
ENSG00000054523,53,20,55,82,14,96,71,38,59,37,93,0,22,89,53,95,28,88
ENSG00000142657,1,53,64,5,76,81,9,49,76,32,94,56,15,78,58,86,41,61
ENSG00000175279,93,64,54,51,91,52,38,19,95,48,54,11,65,78,97,79,3,81
ENSG00000241563,80,60,35,20,9,40,23,81,97,4,25,7,6,70,60,53,25,13
ENSG00000160049,76,31,25,77,39,48,50,60,44,73,49,85,64,19,9,36,41,65
ENSG00000142655,35,45,93,72,25,38,73,18,6,0,14,6,4,47,53,35,50,82
ENSG00000130940,75,71,76,99,25,94,52,52,12,13,52,43,25,96,36,97,71,20
ENSG00000272078,40,5,40,78,17,5,78,13,50,35,33,54,65,99,14,29,17,91
ENSG00000175262,24,21,87,35,50,40,48,36,57,59,60,28,45,10,67,85,32,51
ENSG00000120948,49,31,50,16,69,60,95,25,27,12,41,61,88,5,89,79,14,42
ENSG00000009724,13,56,42,86,35,31,81,84,30,21,2,33,59,53,93,91,3,83
ENSG00000271895,49,19,11,1,60,77,4,38,52,64,34,7,93,85,54,29,8,83
ENSG00000116649,69,69,28,79,7,89,25,13,74,100,46,93,67,31,72,74,95,95
ENSG00000171824,47,46,49,75,99,94,35,97,21,28,17,36,95,18,39,62,67,100
ENSG00000230337,72,53,72,53,52,97,18,96,33,28,30,88,22,86,83,72,34,28
ENSG00000198793,68,63,49,73,89,56,5,11,51,66,65,6,62,74,72,26,50,53
ENSG00000171819,12,9,92,45,52,84,81,8,37,81,53,86,45,0,89,46,64,37
ENSG00000120942,14,6,28,97,60,51,13,8,63,72,88,5,29,83,99,8,9,77
ENSG00000204624,24,49,8,12,65,79,54,58,82,59,95,44,92,20,35,91,33,48
ENSG00000116661,1,82,34,64,65,85,40,91,67,85,42,85,42,91,19,62,60,65
ENSG00000132879,34,77,13,63,59,67,55,86,56,43,0,51,53,60,30,78,72,8
ENSG00000116663,25,69,85,95,65,49,43,4,29,32,17,99,6,80,21,32,28,45
ENSG00000116670,59,43,55,39,25,17,65,77,26,61,29,78,99,19,14,40,75,14
ENSG00000162490,3,31,18,20,14,8,21,98,27,79,97,13,2,33,34,88,76,41
ENSG00000177674,35,5,65,24,13,50,61,54,82,57,33,65,4,88,43,71,31,66
ENSG00000215910,19,35,36,54,89,69,25,92,90,81,72,51,75,95,26,74,89,17
ENSG00000177000,5,16,46,29,96,62,51,42,72,29,32,80,52,37,67,45,99,71
ENSG00000011021,53,2,7,11,60,0,84,54,35,95,25,43,20,78,84,52,53,43
ENSG00000242349,38,43,86,49,42,78,7,33,91,92,91,7,94,15,26,63,52,27
ENSG00000120937,57,47,96,84,60,36,89,95,75,11,47,11,60,13,44,48,63,0
ENSG00000224904,28,34,57,43,47,46,11,67,72,73,75,55,50,24,76,19,0,65
ENSG00000116685,83,30,46,3,31,44,47,81,37,8,99,67,69,24,68,12,100,91
ENSG00000083444,19,87,90,82,35,79,37,5,75,32,26,50,69,33,36,65,71,14
ENSG00000116688,82,8,75,92,10,20,12,79,28,95,0,49,90,34,88,7,100,8
ENSG00000116691,33,28,5,55,14,60,9,65,81,82,40,93,28,64,49,91,92,24
ENSG00000120949,46,69,84,80,60,66,79,59,11,34,60,72,48,10,48,85,86,26
ENSG00000028137,92,53,3,94,59,54,93,26,7,95,77,48,0,24,50,61,70,20
ENSG00000048707,5,13,71,52,100,44,29,82,40,83,77,92,9,8,16,57,92,15
ENSG00000162496,99,78,21,55,51,92,23,35,53,3,87,26,23,78,19,6,21,18
ENSG00000272482,9,62,84,40,56,9,37,79,16,12,90,85,31,4,44,21,88,32
ENSG00000188984,62,16,52,55,74,53,17,80,35,47,41,24,26,6,40,88,48,76
ENSG00000179172,12,99,43,40,46,40,96,91,21,77,81,48,40,13,50,18,15,5
ENSG00000162493,53,77,82,45,35,21,81,92,47,42,92,38,48,94,12,69,67,27
ENSG00000116731,49,54,97,81,10,74,6,41,41,83,100,46,5,79,62,82,48,23
ENSG00000189337,74,15,6,44,88,20,7,78,83,1,35,84,19,84,80,51,2,65
ENSG00000171729,23,15,93,56,36,49,47,61,36,45,21,4,47,87,45,90,29,97
ENSG00000142621,8,97,31,72,44,91,29,70,98,56,78,14,14,44,8,25,84,71
ENSG00000142634,29,39,13,33,36,94,82,12,25,44,67,33,49,72,7,92,34,47
ENSG00000132906,15,29,76,18,61,62,72,96,64,87,49,88,54,12,45,39,33,73
ENSG00000116138,35,13,78,9,55,8,36,25,57,0,7,98,43,47,9,76,11,75
ENSG00000116771,71,10,89,50,0,55,66,1,1,26,6,15,76,60,13,29,2,100
ENSG00000235084,7,75,21,93,96,22,39,92,52,95,21,46,66,32,25,39,48,51
ENSG00000197312,86,29,8,50,41,7,19,34,66,52,31,17,28,40,29,16,20,67
ENSG00000116786,16,46,56,61,92,73,20,68,64,71,97,52,80,47,23,44,90,52
ENSG00000237938,6,48,96,63,96,19,40,94,73,42,81,21,87,64,48,8,40,56
ENSG00000162461,99,95,23,92,79,31,0,14,13,61,1,35,10,16,17,12,43,73
ENSG00000162460,82,95,10,82,97,45,13,38,21,34,20,45,61,21,99,94,21,89
ENSG00000162458,31,91,88,85,63,7,40,73,15,47,34,14,60,8,93,43,77,10
ENSG00000224321,4,72,96,2,22,11,16,31,60,79,66,67,81,31,99,86,71,71
ENSG00000233954,49,8,57,42,19,46,66,53,21,4,37,12,11,97,78,67,94,41
ENSG00000178715,10,78,54,84,73,19,5,99,14,17,18,18,4,99,36,57,74,2
ENSG00000179743,63,87,27,54,51,49,19,51,11,19,77,86,0,86,74,39,60,54
ENSG00000065526,81,0,67,56,33,19,99,79,35,56,64,18,82,4,82,13,100,89
ENSG00000116809,1,83,72,88,42,92,37,66,42,16,80,99,88,14,4,42,23,91
ENSG00000173641,46,92,21,10,46,65,44,25,89,84,59,26,63,14,58,75,6,15
ENSG00000186510,77,65,94,95,25,89,42,4,86,65,7,25,3,93,85,15,54,65
ENSG00000232456,43,2,74,74,0,67,31,36,99,94,93,39,63,0,17,13,38,21
ENSG00000184908,55,47,72,97,44,100,19,36,22,24,52,50,51,30,58,48,21,96
ENSG00000185519,28,30,60,89,72,37,3,65,52,86,6,58,87,15,97,10,48,49
ENSG00000142627,13,44,83,98,5,30,85,85,36,29,53,55,81,35,75,70,35,88
ENSG00000142632,99,97,93,65,53,62,4,19,53,68,85,42,18,44,37,8,54,6
ENSG00000204377,69,100,11,50,39,100,46,49,4,69,41,87,67,21,29,22,15,51
ENSG00000132881,65,95,30,68,36,27,11,75,85,77,28,24,88,33,89,13,12,5
ENSG00000233929,35,62,54,27,1,41,92,28,28,0,96,54,3,16,26,81,21,18
ENSG00000037637,36,39,30,61,62,70,96,45,84,12,56,83,33,33,4,83,100,82
ENSG00000055070,25,51,55,13,59,10,23,52,36,99,60,28,80,67,85,14,47,33
ENSG00000226457,95,82,58,3,63,72,52,47,26,14,96,77,25,57,83,48,81,32
ENSG00000187144,12,16,1,18,81,39,82,70,6,42,31,99,26,2,69,69,35,10
ENSG00000157191,5,44,75,63,18,13,57,97,15,27,64,97,58,45,86,46,33,43
ENSG00000226029,75,83,44,51,14,81,85,16,42,69,33,26,38,89,87,9,76,98
ENSG00000080947,48,68,87,2,93,32,70,24,49,6,69,38,50,27,3,77,99,21
ENSG00000206652,23,36,70,63,42,54,13,39,9,57,28,94,66,62,99,32,73,8
ENSG00000261135,15,43,5,4,91,13,0,24,25,86,42,67,52,4,62,19,57,88
ENSG00000224174,21,92,60,97,57,100,47,39,28,23,32,34,89,42,85,64,12,16
ENSG00000233421,54,38,44,68,85,49,57,81,15,53,34,77,38,69,15,15,48,55
ENSG00000219481,93,84,79,79,95,71,20,32,88,92,18,55,2,94,71,52,51,86
ENSG00000215908,75,6,79,18,48,29,8,57,48,98,73,99,86,46,88,58,54,2
ENSG00000186301,13,69,29,95,88,92,3,87,95,30,40,71,23,25,84,41,53,6
ENSG00000236698,72,91,20,42,33,67,43,68,46,21,85,0,49,78,4,33,24,14
ENSG00000268869,47,65,7,60,14,21,31,94,92,34,65,97,100,30,34,0,77,12
ENSG00000058453,13,6,72,99,71,15,85,30,92,86,98,53,10,13,72,93,14,56
ENSG00000207389,37,70,22,23,1,0,38,19,81,98,89,89,54,17,49,24,56,75
ENSG00000186715,60,55,32,28,77,17,23,29,59,84,84,95,30,67,4,61,75,31
ENSG00000228549,79,53,61,48,20,77,37,61,10,63,83,13,32,2,75,55,37,0
ENSG00000238142,57,98,25,32,5,75,69,34,52,88,75,75,69,38,76,49,91,54
ENSG00000235241,21,43,69,97,84,20,24,48,13,29,40,76,83,54,89,85,57,73
ENSG00000207005,3,72,1,33,47,89,2,28,10,50,43,99,1,45,30,51,0,55
ENSG00000117122,15,26,75,99,7,23,62,88,73,65,13,8,77,60,3,5,55,27
ENSG00000159363,49,70,46,89,51,69,85,3,49,78,71,96,92,21,36,51,33,55
ENSG00000117118,52,89,55,38,51,73,63,96,44,17,53,88,99,27,8,59,39,94
ENSG00000117115,76,27,6,53,88,86,70,2,99,28,84,97,62,97,32,46,56,98
ENSG00000142623,39,65,9,73,48,43,24,90,46,74,22,65,83,82,4,98,21,58
ENSG00000142619,41,90,45,86,92,17,18,51,26,8,28,43,48,42,74,1,14,95
ENSG00000179051,100,16,95,72,19,13,58,31,49,96,34,2,92,63,90,27,9,61
ENSG00000074964,59,66,86,89,37,45,11,57,86,34,69,80,83,25,35,59,2,83
ENSG00000117148,45,68,12,36,32,55,24,47,58,24,73,63,13,85,89,65,39,30
ENSG00000117154,30,77,71,32,80,49,19,23,97,53,57,65,86,89,79,37,79,78
ENSG00000179023,22,56,92,18,23,95,83,51,15,39,94,17,31,5,87,59,53,75
ENSG00000009709,29,15,53,45,52,0,44,6,16,92,67,43,20,62,51,72,63,29
ENSG00000159423,21,43,91,93,22,36,30,23,47,60,62,56,7,58,28,23,18,86
ENSG00000169991,32,35,42,40,11,44,8,73,19,100,58,13,94,65,21,37,21,2
ENSG00000272084,27,5,28,88,19,28,17,98,45,17,22,74,95,85,58,68,95,99
ENSG00000127481,95,98,5,100,53,80,96,30,48,83,78,6,8,17,80,6,9,11
ENSG00000230424,88,1,76,53,42,44,71,0,7,10,13,43,75,73,25,32,84,84
ENSG00000127463,57,79,100,76,21,12,71,34,55,19,84,5,87,6,51,99,35,10
ENSG00000053372,13,99,1,81,47,25,79,16,3,37,98,81,76,5,34,32,81,25
ENSG00000211454,62,87,68,77,46,24,4,1,45,34,35,40,88,69,86,21,48,90
ENSG00000162482,95,13,19,10,99,100,43,78,84,41,94,55,93,66,65,90,24,40
ENSG00000270728,32,94,40,14,78,59,38,53,86,89,86,15,89,79,60,87,86,85
ENSG00000053371,26,52,47,51,90,19,20,15,98,43,52,1,81,90,10,36,39,23
